Symbol,Company,Timestamp,Current Price,Change,Change %,Open,High,Low,Previous Close,Volume,Day High,Day Low,Market Status,is_demo,data_source
ADANIENT,Adani Enterprises Ltd.,2026-09-24T16:34:28.487946+05:30,3016.83,-43.17,-1.41,3048.79,3066.04,2995.78,3060.0,1688401,3066.04,2995.78,DEMO (CLOSED),True,DEMO DATA
ADANIPORTS,Adani Ports & SEZ Ltd.,2026-09-24T16:34:28.487946+05:30,1786.85,22.25,1.26,1765.19,1790.62,1760.9,1764.6,1680769,1790.62,1760.9,DEMO (CLOSED),True,DEMO DATA
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,2026-09-24T16:34:28.487946+05:30,8868.14,32.14,0.36,8806.42,8884.89,8775.9,8836.0,178606,8884.89,8775.9,DEMO (CLOSED),True,DEMO DATA
ASIANPAINT,Asian Paints Ltd.,2026-09-24T16:34:28.487946+05:30,2470.56,-1.94,-0.08,2468.91,2473.22,2459.72,2472.5,594677,2473.22,2459.72,DEMO (CLOSED),True,DEMO DATA
AXISBANK,Axis Bank Ltd.,2026-09-24T16:34:28.487946+05:30,1262.01,16.01,1.28,1250.82,1269.41,1246.0,1246.0,4697253,1269.41,1246.0,DEMO (CLOSED),True,DEMO DATA
BAJAJ-AUTO,Bajaj Auto Ltd.,2026-09-24T16:34:28.487946+05:30,11482.64,-195.36,-1.67,11728.75,11774.27,11391.41,11678.0,264101,11774.27,11391.41,DEMO (CLOSED),True,DEMO DATA
BAJAJFINSV,Bajaj Finserv Ltd.,2026-09-24T16:34:28.487946+05:30,1939.94,26.44,1.38,1923.2,1950.3,1919.47,1913.5,788107,1950.3,1919.47,DEMO (CLOSED),True,DEMO DATA
BAJFINANCE,Bajaj Finance Ltd.,2026-09-24T16:34:28.487946+05:30,1039.44,4.94,0.48,1033.19,1046.95,1030.0,1034.5,5401035,1046.95,1030.0,DEMO (CLOSED),True,DEMO DATA
BEL,Bharat Electronics Ltd.,2026-09-24T16:34:28.487946+05:30,399.73,-4.62,-1.14,404.29,405.2,397.95,404.35,7825542,405.2,397.95,DEMO (CLOSED),True,DEMO DATA
BHARTIARTL,Bharti Airtel Ltd.,2026-09-24T16:34:28.487946+05:30,1852.73,21.63,1.18,1830.1,1858.21,1820.98,1831.1,3569777,1858.21,1820.98,DEMO (CLOSED),True,DEMO DATA
BPCL,Bharat Petroleum Corporation Ltd.,2026-09-24T16:34:28.487946+05:30,305.02,0.52,0.17,303.73,307.41,302.23,304.5,4070674,307.41,302.23,DEMO (CLOSED),True,DEMO DATA
CIPLA,Cipla Ltd.,2026-09-24T16:34:28.487946+05:30,1376.29,10.29,0.75,1362.44,1385.23,1355.34,1366.0,1661132,1385.23,1355.34,DEMO (CLOSED),True,DEMO DATA
COALINDIA,Coal India Ltd.,2026-09-24T16:34:28.487946+05:30,419.65,-6.75,-1.58,428.17,431.07,418.19,426.4,4818117,431.07,418.19,DEMO (CLOSED),True,DEMO DATA
DRREDDY,Dr. Reddy's Laboratories Ltd.,2026-09-24T16:34:28.487946+05:30,1155.29,-10.21,-0.88,1169.91,1172.36,1147.09,1165.5,2438018,1172.36,1147.09,DEMO (CLOSED),True,DEMO DATA
EICHERMOT,Eicher Motors Ltd.,2026-09-24T16:34:28.487946+05:30,7613.28,83.28,1.11,7491.43,7632.53,7462.79,7530.0,394283,7632.53,7462.79,DEMO (CLOSED),True,DEMO DATA
GRASIM,Grasim Industries Ltd.,2026-09-24T16:34:28.487946+05:30,3229.17,-52.73,-1.61,3262.67,3278.04,3214.74,3281.9,542118,3278.04,3214.74,DEMO (CLOSED),True,DEMO DATA
HCLTECH,HCL Technologies Ltd.,2026-09-24T16:34:28.487946+05:30,1181.0,-25.1,-2.08,1210.38,1217.48,1173.19,1206.1,2640806,1217.48,1173.19,DEMO (CLOSED),True,DEMO DATA
HDFCBANK,HDFC Bank Ltd.,2026-09-24T16:34:28.487946+05:30,722.21,13.96,1.97,709.99,725.92,705.1,708.25,28355081,725.92,705.1,DEMO (CLOSED),True,DEMO DATA
