symbol,company,timestamp,open,high,low,current_price,previous_close,change,change_pct,volume,day_high,day_low,market_status,is_demo,data_source,Symbol,Company,Timestamp,Open,High,Low,Current Price,Previous Close,Change,Change %,Volume,Day High,Day Low,Market Status
ADANIENT,Adani Enterprises Ltd.,2026-09-24T16:34:28.487946+05:30,3048.79,3066.04,2995.78,3016.83,3060.0,-43.17,-1.41,1688401,3066.04,2995.78,DEMO (CLOSED),True,DEMO DATA,ADANIENT,Adani Enterprises Ltd.,2026-09-24T16:34:28.487946+05:30,3048.79,3066.04,2995.78,3016.83,3060.0,-43.17,-1.41,1688401,3066.04,2995.78,DEMO (CLOSED)
ADANIPORTS,Adani Ports & SEZ Ltd.,2026-09-24T16:34:28.487946+05:30,1765.19,1790.62,1760.9,1786.85,1764.6,22.25,1.26,1680769,1790.62,1760.9,DEMO (CLOSED),True,DEMO DATA,ADANIPORTS,Adani Ports & SEZ Ltd.,2026-09-24T16:34:28.487946+05:30,1765.19,1790.62,1760.9,1786.85,1764.6,22.25,1.26,1680769,1790.62,1760.9,DEMO (CLOSED)
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,2026-09-24T16:34:28.487946+05:30,8806.42,8884.89,8775.9,8868.14,8836.0,32.14,0.36,178606,8884.89,8775.9,DEMO (CLOSED),True,DEMO DATA,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,2026-09-24T16:34:28.487946+05:30,8806.42,8884.89,8775.9,8868.14,8836.0,32.14,0.36,178606,8884.89,8775.9,DEMO (CLOSED)
ASIANPAINT,Asian Paints Ltd.,2026-09-24T16:34:28.487946+05:30,2468.91,2473.22,2459.72,2470.56,2472.5,-1.94,-0.08,594677,2473.22,2459.72,DEMO (CLOSED),True,DEMO DATA,ASIANPAINT,Asian Paints Ltd.,2026-09-24T16:34:28.487946+05:30,2468.91,2473.22,2459.72,2470.56,2472.5,-1.94,-0.08,594677,2473.22,2459.72,DEMO (CLOSED)
AXISBANK,Axis Bank Ltd.,2026-09-24T16:34:28.487946+05:30,1250.82,1269.41,1246.0,1262.01,1246.0,16.01,1.28,4697253,1269.41,1246.0,DEMO (CLOSED),True,DEMO DATA,AXISBANK,Axis Bank Ltd.,2026-09-24T16:34:28.487946+05:30,1250.82,1269.41,1246.0,1262.01,1246.0,16.01,1.28,4697253,1269.41,1246.0,DEMO (CLOSED)
BAJAJ-AUTO,Bajaj Auto Ltd.,2026-09-24T16:34:28.487946+05:30,11728.75,11774.27,11391.41,11482.64,11678.0,-195.36,-1.67,264101,11774.27,11391.41,DEMO (CLOSED),True,DEMO DATA,BAJAJ-AUTO,Bajaj Auto Ltd.,2026-09-24T16:34:28.487946+05:30,11728.75,11774.27,11391.41,11482.64,11678.0,-195.36,-1.67,264101,11774.27,11391.41,DEMO (CLOSED)
BAJAJFINSV,Bajaj Finserv Ltd.,2026-09-24T16:34:28.487946+05:30,1923.2,1950.3,1919.47,1939.94,1913.5,26.44,1.38,788107,1950.3,1919.47,DEMO (CLOSED),True,DEMO DATA,BAJAJFINSV,Bajaj Finserv Ltd.,2026-09-24T16:34:28.487946+05:30,1923.2,1950.3,1919.47,1939.94,1913.5,26.44,1.38,788107,1950.3,1919.47,DEMO (CLOSED)
BAJFINANCE,Bajaj Finance Ltd.,2026-09-24T16:34:28.487946+05:30,1033.19,1046.95,1030.0,1039.44,1034.5,4.94,0.48,5401035,1046.95,1030.0,DEMO (CLOSED),True,DEMO DATA,BAJFINANCE,Bajaj Finance Ltd.,2026-09-24T16:34:28.487946+05:30,1033.19,1046.95,1030.0,1039.44,1034.5,4.94,0.48,5401035,1046.95,1030.0,DEMO (CLOSED)
BEL,Bharat Electronics Ltd.,2026-09-24T16:34:28.487946+05:30,404.29,405.2,397.95,399.73,404.35,-4.62,-1.14,7825542,405.2,397.95,DEMO (CLOSED),True,DEMO DATA,BEL,Bharat Electronics Ltd.,2026-09-24T16:34:28.487946+05:30,404.29,405.2,397.95,399.73,404.35,-4.62,-1.14,7825542,405.2,397.95,DEMO (CLOSED)
BHARTIARTL,Bharti Airtel Ltd.,2026-09-24T16:34:28.487946+05:30,1830.1,1858.21,1820.98,1852.73,1831.1,21.63,1.18,3569777,1858.21,1820.98,DEMO (CLOSED),True,DEMO DATA,BHARTIARTL,Bharti Airtel Ltd.,2026-09-24T16:34:28.487946+05:30,1830.1,1858.21,1820.98,1852.73,1831.1,21.63,1.18,3569777,1858.21,1820.98,DEMO (CLOSED)
BPCL,Bharat Petroleum Corporation Ltd.,2026-09-24T16:34:28.487946+05:30,303.73,307.41,302.23,305.02,304.5,0.52,0.17,4070674,307.41,302.23,DEMO (CLOSED),True,DEMO DATA,BPCL,Bharat Petroleum Corporation Ltd.,2026-09-24T16:34:28.487946+05:30,303.73,307.41,302.23,305.02,304.5,0.52,0.17,4070674,307.41,302.23,DEMO (CLOSED)
CIPLA,Cipla Ltd.,2026-09-24T16:34:28.487946+05:30,1362.44,1385.23,1355.34,1376.29,1366.0,10.29,0.75,1661132,1385.23,1355.34,DEMO (CLOSED),True,DEMO DATA,CIPLA,Cipla Ltd.,2026-09-24T16:34:28.487946+05:30,1362.44,1385.23,1355.34,1376.29,1366.0,10.29,0.75,1661132,1385.23,1355.34,DEMO (CLOSED)
COALINDIA,Coal India Ltd.,2026-09-24T16:34:28.487946+05:30,428.17,431.07,418.19,419.65,426.4,-6.75,-1.58,4818117,431.07,418.19,DEMO (CLOSED),True,DEMO DATA,COALINDIA,Coal India Ltd.,2026-09-24T16:34:28.487946+05:30,428.17,431.07,418.19,419.65,426.4,-6.75,-1.58,4818117,431.07,418.19,DEMO (CLOSED)
DRREDDY,Dr. Reddy's Laboratories Ltd.,2026-09-24T16:34:28.487946+05:30,1169.91,1172.36,1147.09,1155.29,1165.5,-10.21,-0.88,2438018,1172.36,1147.09,DEMO (CLOSED),True,DEMO DATA,DRREDDY,Dr. Reddy's Laboratories Ltd.,2026-09-24T16:34:28.487946+05:30,1169.91,1172.36,1147.09,1155.29,1165.5,-10.21,-0.88,2438018,1172.36,1147.09,DEMO (CLOSED)
EICHERMOT,Eicher Motors Ltd.,2026-09-24T16:34:28.487946+05:30,7491.43,7632.53,7462.79,7613.28,7530.0,83.28,1.11,394283,7632.53,7462.79,DEMO (CLOSED),True,DEMO DATA,EICHERMOT,Eicher Motors Ltd.,2026-09-24T16:34:28.487946+05:30,7491.43,7632.53,7462.79,7613.28,7530.0,83.28,1.11,394283,7632.53,7462.79,DEMO (CLOSED)
GRASIM,Grasim Industries Ltd.,2026-09-24T16:34:28.487946+05:30,3262.67,3278.04,3214.74,3229.17,3281.9,-52.73,-1.61,542118,3278.04,3214.74,DEMO (CLOSED),True,DEMO DATA,GRASIM,Grasim Industries Ltd.,2026-09-24T16:34:28.487946+05:30,3262.67,3278.04,3214.74,3229.17,3281.9,-52.73,-1.61,542118,3278.04,3214.74,DEMO (CLOSED)
HCLTECH,HCL Technologies Ltd.,2026-09-24T16:34:28.487946+05:30,1210.38,1217.48,1173.19,1181.0,1206.1,-25.1,-2.08,2640806,1217.48,1173.19,DEMO (CLOSED),True,DEMO DATA,HCLTECH,HCL Technologies Ltd.,2026-09-24T16:34:28.487946+05:30,1210.38,1217.48,1173.19,1181.0,1206.1,-25.1,-2.08,2640806,1217.48,1173.19,DEMO (CLOSED)
HDFCBANK,HDFC Bank Ltd.,2026-09-24T16:34:28.487946+05:30,709.99,725.92,705.1,722.21,708.25,13.96,1.97,28355081,725.92,705.1,DEMO (CLOSED),True,DEMO DATA,HDFCBANK,HDFC Bank Ltd.,2026-09-24T16:34:28.487946+05:30,709.99,725.92,705.1,722.21,708.25,13.96,1.97,28355081,725.92,705.1,DEMO (CLOSED)
HDFCLIFE,HDFC Life Insurance Co. Ltd.,2026-09-24T16:34:28.487946+05:30,531.56,534.27,525.78,529.74,530.0,-0.26,-0.05,4055768,534.27,525.78,DEMO (CLOSED),True,DEMO DATA,HDFCLIFE,HDFC Life Insurance Co. Ltd.,2026-09-24T16:34:28.487946+05:30,531.56,534.27,525.78,529.74,530.0,-0.26,-0.05,4055768,534.27,525.78,DEMO (CLOSED)
HINDALCO,Hindalco Industries Ltd.,2026-09-24T16:34:28.487946+05:30,977.43,982.5,970.84,975.48,981.5,-6.02,-0.61,5627184,982.5,970.84,DEMO (CLOSED),True,DEMO DATA,HINDALCO,Hindalco Industries Ltd.,2026-09-24T16:34:28.487946+05:30,977.43,982.5,970.84,975.48,981.5,-6.02,-0.61,5627184,982.5,970.84,DEMO (CLOSED)
HINDUNILVR,Hindustan Unilever Ltd.,2026-09-24T16:34:28.487946+05:30,1918.39,1939.15,1907.87,1926.12,1927.0,-0.88,-0.05,953321,1939.15,1907.87,DEMO (CLOSED),True,DEMO DATA,HINDUNILVR,Hindustan Unilever Ltd.,2026-09-24T16:34:28.487946+05:30,1918.39,1939.15,1907.87,1926.12,1927.0,-0.88,-0.05,953321,1939.15,1907.87,DEMO (CLOSED)
ICICIBANK,ICICI Bank Ltd.,2026-09-24T16:34:28.487946+05:30,1376.88,1402.54,1372.51,1396.44,1379.3,17.14,1.24,7417977,1402.54,1372.51,DEMO (CLOSED),True,DEMO DATA,ICICIBANK,ICICI Bank Ltd.,2026-09-24T16:34:28.487946+05:30,1376.88,1402.54,1372.51,1396.44,1379.3,17.14,1.24,7417977,1402.54,1372.51,DEMO (CLOSED)
INDIGO,InterGlobe Aviation Ltd.,2026-09-24T16:34:28.487946+05:30,4997.55,5005.49,4837.3,4875.93,4973.0,-97.07,-1.95,992414,5005.49,4837.3,DEMO (CLOSED),True,DEMO DATA,INDIGO,InterGlobe Aviation Ltd.,2026-09-24T16:34:28.487946+05:30,4997.55,5005.49,4837.3,4875.93,4973.0,-97.07,-1.95,992414,5005.49,4837.3,DEMO (CLOSED)
INFY,Infosys Ltd.,2026-09-24T16:34:28.487946+05:30,1034.31,1038.98,1007.41,1014.88,1037.7,-22.82,-2.2,5918123,1038.98,1007.41,DEMO (CLOSED),True,DEMO DATA,INFY,Infosys Ltd.,2026-09-24T16:34:28.487946+05:30,1034.31,1038.98,1007.41,1014.88,1037.7,-22.82,-2.2,5918123,1038.98,1007.41,DEMO (CLOSED)
ITC,ITC Ltd.,2026-09-24T16:34:28.487946+05:30,261.06,261.93,254.19,254.56,259.85,-5.29,-2.04,10359226,261.93,254.19,DEMO (CLOSED),True,DEMO DATA,ITC,ITC Ltd.,2026-09-24T16:34:28.487946+05:30,261.06,261.93,254.19,254.56,259.85,-5.29,-2.04,10359226,261.93,254.19,DEMO (CLOSED)
JIOFIN,Jio Financial Services Ltd.,2026-09-24T16:34:28.487946+05:30,228.63,229.98,224.81,225.3,229.9,-4.6,-2.0,22021902,229.98,224.81,DEMO (CLOSED),True,DEMO DATA,JIOFIN,Jio Financial Services Ltd.,2026-09-24T16:34:28.487946+05:30,228.63,229.98,224.81,225.3,229.9,-4.6,-2.0,22021902,229.98,224.81,DEMO (CLOSED)
JSWSTEEL,JSW Steel Ltd.,2026-09-24T16:34:28.487946+05:30,1262.66,1272.52,1233.04,1239.35,1265.0,-25.65,-2.03,1396739,1272.52,1233.04,DEMO (CLOSED),True,DEMO DATA,JSWSTEEL,JSW Steel Ltd.,2026-09-24T16:34:28.487946+05:30,1262.66,1272.52,1233.04,1239.35,1265.0,-25.65,-2.03,1396739,1272.52,1233.04,DEMO (CLOSED)
KOTAKBANK,Kotak Mahindra Bank Ltd.,2026-09-24T16:34:28.487946+05:30,418.49,420.66,410.7,413.27,419.0,-5.73,-1.37,16282455,420.66,410.7,DEMO (CLOSED),True,DEMO DATA,KOTAKBANK,Kotak Mahindra Bank Ltd.,2026-09-24T16:34:28.487946+05:30,418.49,420.66,410.7,413.27,419.0,-5.73,-1.37,16282455,420.66,410.7,DEMO (CLOSED)
LT,Larsen & Toubro Ltd.,2026-09-24T16:34:28.487946+05:30,3924.96,3937.11,3882.81,3902.93,3930.7,-27.77,-0.71,1333882,3937.11,3882.81,DEMO (CLOSED),True,DEMO DATA,LT,Larsen & Toubro Ltd.,2026-09-24T16:34:28.487946+05:30,3924.96,3937.11,3882.81,3902.93,3930.7,-27.77,-0.71,1333882,3937.11,3882.81,DEMO (CLOSED)
M&M,Mahindra & Mahindra Ltd.,2026-09-24T16:34:28.487946+05:30,3108.02,3156.14,3089.65,3143.85,3107.0,36.85,1.19,1219096,3156.14,3089.65,DEMO (CLOSED),True,DEMO DATA,M&M,Mahindra & Mahindra Ltd.,2026-09-24T16:34:28.487946+05:30,3108.02,3156.14,3089.65,3143.85,3107.0,36.85,1.19,1219096,3156.14,3089.65,DEMO (CLOSED)
MARUTI,Maruti Suzuki India Ltd.,2026-09-24T16:34:28.487946+05:30,12349.11,12417.72,12201.82,12254.0,12400.0,-146.0,-1.18,515885,12417.72,12201.82,DEMO (CLOSED),True,DEMO DATA,MARUTI,Maruti Suzuki India Ltd.,2026-09-24T16:34:28.487946+05:30,12349.11,12417.72,12201.82,12254.0,12400.0,-146.0,-1.18,515885,12417.72,12201.82,DEMO (CLOSED)
MAXHEALTH,Max Healthcare Institute Ltd.,2026-09-24T16:34:28.487946+05:30,1043.29,1049.35,1035.95,1042.12,1037.7,4.42,0.43,2863703,1049.35,1035.95,DEMO (CLOSED),True,DEMO DATA,MAXHEALTH,Max Healthcare Institute Ltd.,2026-09-24T16:34:28.487946+05:30,1043.29,1049.35,1035.95,1042.12,1037.7,4.42,0.43,2863703,1049.35,1035.95,DEMO (CLOSED)
NESTLEIND,Nestle India Ltd.,2026-09-24T16:34:28.487946+05:30,1377.09,1385.27,1365.81,1369.84,1383.3,-13.46,-0.97,1107328,1385.27,1365.81,DEMO (CLOSED),True,DEMO DATA,NESTLEIND,Nestle India Ltd.,2026-09-24T16:34:28.487946+05:30,1377.09,1385.27,1365.81,1369.84,1383.3,-13.46,-0.97,1107328,1385.27,1365.81,DEMO (CLOSED)
