Symbol,Company_Name,Industry,Sector,Series,Aliases
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,Commodities,EQ,
ADANIPORTS,Adani Ports & SEZ Ltd.,Services,Infrastructure,EQ,
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,EQ,
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,Consumer Goods,EQ,
AXISBANK,Axis Bank Ltd.,Financial Services,Banking,EQ,
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,Automobile,EQ,
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Services,EQ,
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,Financial Services,EQ,
BEL,Bharat Electronics Ltd.,Capital Goods,Defense & Engineering,EQ,
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,Telecommunication,EQ,
CIPLA,Cipla Ltd.,Healthcare,Pharmaceuticals,EQ,
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,Energy,EQ,
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,Pharmaceuticals,EQ,
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,Automobile,EQ,
GRASIM,Grasim Industries Ltd.,Construction Materials,Materials,EQ,
HCLTECH,HCL Technologies Ltd.,Information Technology,IT,EQ,
HDFCBANK,HDFC Bank Ltd.,Financial Services,Banking,EQ,
HDFCLIFE,HDFC Life Insurance Co. Ltd.,Financial Services,Insurance,EQ,
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,Commodities,EQ,
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,FMCG,EQ,
ICICIBANK,ICICI Bank Ltd.,Financial Services,Banking,EQ,
INDIGO,InterGlobe Aviation Ltd.,Services,Aviation,EQ,
INFY,Infosys Ltd.,Information Technology,IT,EQ,
ITC,ITC Ltd.,Fast Moving Consumer Goods,FMCG,EQ,
JIOFIN,Jio Financial Services Ltd.,Financial Services,Financial Services,EQ,
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,Commodities,EQ,
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,Banking,EQ,
LT,Larsen & Toubro Ltd.,Construction,Engineering & Capital Goods,EQ,
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,Automobile,EQ,
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,Automobile,EQ,
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,Healthcare,EQ,
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,FMCG,EQ,
NTPC,NTPC Ltd.,Power,Utilities,EQ,
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,Energy,EQ,
POWERGRID,Power Grid Corporation of India Ltd.,Power,Utilities,EQ,
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,Energy & Conglomerate,EQ,
SBILIFE,SBI Life Insurance Co. Ltd.,Financial Services,Insurance,EQ,
SBIN,State Bank of India,Financial Services,Banking,EQ,
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,Financial Services,EQ,SRTRANSFIN
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,Pharmaceuticals,EQ,
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,FMCG,EQ,
TATAMOTORS,Tata Motors Ltd.,Automobile and Auto Components,Automobile,EQ,TMPV
TCS,Tata Consultancy Services Ltd.,Information Technology,IT,EQ,
TECHM,Tech Mahindra Ltd.,Information Technology,IT,EQ,
TITAN,Titan Company Ltd.,Consumer Durables,Consumer Goods,EQ,
TRENT,Trent Ltd.,Consumer Services,Retail,EQ,
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,Materials,EQ,
WIPRO,Wipro Ltd.,Information Technology,IT,EQ,
ZOMATO,Eternal Ltd. (Zomato),Consumer Services,Internet & Tech,EQ,ETERNAL
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,Energy,EQ,
