Date,Open,High,Low,Close,Points_Change,Change_Pct,Volume_Cr,Turnover_Rs_Cr,PE,PB,Div_Yield,Daily_Return
2021-09-01,23269.05,23314.28,23133.26,23167.46,-6.77,-0.03,20.59,3471.99,28.71,3.46,1.02,
2021-09-02,23212.68,23389.79,23166.29,23378.19,210.73,0.91,30.1,4153.9,28.86,3.48,1.02,0.009095947505682433
2021-09-03,23448.29,23513.1,23373.75,23494.55,116.36,0.5,32.94,3669.7,29.0,3.49,1.02,0.0049772886609271705
2021-09-06,23615.15,23631.94,23538.56,23566.75,72.2,0.31,18.75,2960.24,29.06,3.51,1.02,0.0030730531123175364
2021-09-07,23629.84,23639.99,23423.44,23530.8,-35.95,-0.15,32.4,4017.6,28.9,3.49,1.02,-0.0015254542947160665
2021-09-08,23565.6,23594.09,23421.88,23555.9,25.1,0.11,41.9,2871.09,28.9,3.49,1.02,0.001066687065463201
2021-09-09,23537.55,23615.67,23509.48,23606.9,51.0,0.22,35.62,6792.45,29.05,3.51,1.02,0.0021650626806872797
2021-09-13,23612.03,23650.59,23500.79,23627.62,20.72,0.09,35.62,6792.45,29.11,3.51,1.02,0.0008777094832441712
2021-09-14,23747.4,23762.45,23678.79,23711.05,83.43,0.35,41.47,4064.62,29.2,3.52,1.01,0.0035310369812955322
2021-09-15,23774.1,23913.08,23743.27,23901.29,190.24,0.8,36.93,3913.87,29.47,3.56,1.0,0.00802326341515891
2021-09-16,23973.42,24041.02,23883.23,24024.51,123.22,0.52,67.84,5808.49,29.7,3.59,1.0,0.005155370274993354
2021-09-17,24129.8,24190.1,23829.51,23902.17,-122.34,-0.51,59.29,4826.49,29.48,3.56,1.0,-0.00509229948914669
2021-09-20,23745.66,23932.34,23543.82,23581.89,-320.28,-1.34,39.42,5206.52,29.32,3.54,1.02,-0.013399620201847706
2021-09-21,23594.66,23792.08,23438.76,23770.02,188.13,0.8,32.18,3918.67,29.61,3.57,1.01,0.007977732064732734
2021-09-22,23845.75,23907.91,23783.59,23846.71,76.69,0.32,29.19,4672.72,29.59,3.57,1.01,0.0032263330026647274
2021-09-23,24010.66,24206.77,23995.38,24185.34,338.63,1.42,27.68,10465.29,30.15,3.64,0.99,0.014200281716010288
2021-09-24,24292.66,24345.46,24115.56,24160.86,-24.48,-0.1,27.68,10465.29,30.13,3.63,0.99,-0.0010121834135885521
2021-09-27,24254.89,24275.87,24083.32,24162.75,1.89,0.01,22.71,3924.75,30.08,3.62,0.99,7.82256922973179e-05
2021-09-28,24243.45,24244.17,23806.17,24010.47,-152.28,-0.63,27.63,5312.53,29.79,3.59,1.0,-0.006302262780519596
2021-09-29,23879.22,24084.23,23832.73,23997.88,-12.59,-0.05,32.88,8596.07,29.72,3.58,1.0,-0.0005243545836461916
2021-09-30,24069.73,24077.46,23900.74,23937.54,-60.34,-0.25,32.88,8596.07,29.77,3.59,1.0,-0.0025143887710080692
2021-10-01,23872.06,23904.2,23746.52,23873.27,-64.27,-0.27,28.43,4405.59,29.78,3.59,1.0,-0.0026849041296641563
2021-10-04,24016.36,24162.52,23972.36,24140.88,267.61,1.12,22.09,4385.63,29.93,3.61,0.99,0.011209608067935362
2021-10-05,24167.28,24314.27,24099.64,24303.2,162.32,0.67,40.06,7558.52,30.08,3.63,0.99,0.006723864250184786
2021-10-06,24404.25,24411.38,24033.71,24073.67,-229.53,-0.94,40.06,7558.52,29.77,3.59,1.0,-0.00944443530070127
2021-10-07,24259.61,24390.95,24259.58,24321.31,247.64,1.03,23.83,4438.39,30.13,3.63,0.99,0.010286757274649228
2021-10-08,24454.98,24499.08,24363.18,24435.39,114.08,0.47,23.26,4722.26,30.28,3.65,0.98,0.004690536817301361
2021-10-11,24504.72,24647.23,24423.42,24534.94,99.55,0.41,34.03,11175.74,30.3,3.66,0.98,0.004074009049988447
2021-10-12,24554.44,24638.67,24448.62,24622.92,87.98,0.36,30.07,4126.66,30.35,3.66,0.98,0.003585906466451405
2021-10-13,24776.85,24911.52,24728.9,24864.65,241.73,0.98,28.13,4828.34,30.83,3.72,0.96,0.009817275936404135
2021-10-14,25037.06,25104.0,24992.2,25082.49,217.84,0.88,24.28,5071.68,31.19,3.77,0.95,0.00876103222848501
2021-10-18,25325.04,25366.27,25248.53,25266.77,184.28,0.73,29.53,5520.04,31.18,3.77,0.95,0.007346957977457436
2021-10-19,25442.21,25454.92,24998.09,25062.34,-204.43,-0.81,31.83,5991.47,30.93,3.75,0.95,-0.008090864008339804
2021-10-20,25088.91,25090.65,24652.37,24765.29,-297.05,-1.19,36.21,12711.39,30.79,3.72,0.97,-0.011852444743786883
2021-10-21,24893.86,24911.97,24453.59,24639.03,-126.26,-0.51,21.54,4424.11,30.59,3.7,0.98,-0.0050982645468719
2021-10-22,24710.2,24814.23,24385.46,24495.84,-143.19,-0.58,21.22,4302.06,30.3,3.66,0.98,-0.005811511248616452
2021-10-25,24682.48,24683.87,24151.71,24394.14,-101.7,-0.42,19.09,4405.46,29.81,3.61,0.99,-0.004151725354182623
2021-10-26,24422.27,24703.2,24421.91,24654.92,260.78,1.07,21.09,3763.07,30.14,3.65,0.98,0.010690272335897033
2021-10-27,24746.03,24781.52,24574.73,24623.63,-31.29,-0.13,21.09,3763.07,30.1,3.64,0.98,-0.0012691178880319676
2021-10-28,24610.79,24610.79,24080.73,24157.15,-466.48,-1.89,21.09,3763.07,29.37,3.56,1.01,-0.01894440421660004
2021-10-29,24128.05,24274.17,23791.5,23990.09,-167.06,-0.69,22.92,4486.39,29.01,3.54,1.02,-0.006915550882450994
2021-11-01,24110.76,24345.65,24027.66,24329.04,338.95,1.41,16.55,3248.02,29.54,3.57,1.0,0.014128750663294776
2021-11-02,24434.7,24440.12,24295.28,24347.04,18.0,0.07,14.67,2990.54,29.59,3.57,1.0,0.0007398565664735735
2021-11-03,24440.53,24478.71,24185.24,24295.57,-51.47,-0.21,15.24,2996.66,29.57,3.57,0.99,-0.0021140146810454397
2021-11-04,24491.19,24491.19,24428.7,24447.15,151.58,0.62,15.24,2996.66,29.41,3.58,0.99,0.006238997479787622
2021-11-08,24567.55,24693.66,24340.89,24671.01,223.86,0.92,16.35,3353.17,29.05,3.59,0.97,0.009156895589056191
2021-11-09,24721.14,24766.45,24624.68,24705.58,34.57,0.14,24.52,3900.76,29.08,3.59,0.97,0.001401239754675876
2021-11-10,24669.17,24741.42,24578.9,24675.95,-29.63,-0.12,19.82,3493.24,28.97,3.56,0.98,-0.001199324201253349
2021-11-11,24665.85,24665.98,24409.95,24504.51,-171.44,-0.69,15.77,3038.95,28.71,3.53,0.99,-0.006947655510730177
2021-11-12,24641.36,24792.14,24532.97,24772.08,267.57,1.09,18.66,3813.12,29.16,3.58,0.98,0.010919214462970395
2021-11-15,24856.94,24902.17,24732.24,24781.53,9.45,0.04,14.68,2844.95,29.02,3.57,0.99,0.00038147785732967066
2021-11-16,24825.72,24841.54,24627.94,24673.38,-108.15,-0.44,16.08,3296.09,28.39,3.53,0.99,-0.004364137323240258
2021-11-17,24644.32,24733.96,24535.74,24565.69,-107.69,-0.44,15.86,3925.14,28.04,3.52,1.0,-0.004364622925598471
2021-11-18,24581.02,24639.4,24228.33,24322.72,-242.97,-0.99,22.48,5254.64,27.54,3.48,1.01,-0.009890623874191928
2021-11-22,24365.7,24378.94,23596.46,23804.33,-518.39,-2.13,27.25,4023.19,26.89,3.39,1.03,-0.02131299459928826
2021-11-23,23653.55,24056.32,23554.24,24007.68,203.35,0.85,24.73,4974.03,27.13,3.42,1.02,0.008542563474796427
2021-11-24,24095.24,24152.63,23831.27,23907.84,-99.84,-0.42,25.17,3290.37,27.06,3.42,1.03,-0.004158669225847733
2021-11-25,23940.95,24103.14,23811.46,24072.41,164.57,0.69,24.09,3300.71,27.2,3.43,1.02,0.006883516034907444
2021-11-26,23871.36,23871.52,23318.68,23359.67,-712.74,-2.96,29.46,4347.31,26.3,3.32,1.06,-0.029608169684713803
2021-11-29,23237.11,23433.99,22881.93,23284.2,-75.47,-0.32,32.4,4120.77,26.26,3.32,1.06,-0.003230781941696792
2021-11-30,23294.9,23688.28,23211.43,23276.88,-7.32,-0.03,32.4,4120.77,26.28,3.32,1.06,-0.0003143762723220034
2021-12-01,23403.35,23544.65,23345.55,23488.72,211.84,0.91,39.4,4097.77,26.59,3.36,1.04,0.009100876062427599
2021-12-02,23541.15,23807.14,23503.66,23786.0,297.28,1.27,28.74,3199.99,26.88,3.39,1.03,0.012656287784093667
2021-12-03,23830.52,23909.57,23579.48,23595.31,-190.69,-0.8,36.95,3122.57,26.64,3.36,1.04,-0.008016900697889406
2021-12-06,23632.45,23633.49,23189.34,23212.63,-382.68,-1.62,40.15,2993.07,26.18,3.31,1.06,-0.016218477316042867
2021-12-07,23368.08,23628.36,23317.7,23556.16,343.53,1.48,24.51,2899.98,26.54,3.35,1.05,0.014799270914153118
2021-12-08,23753.23,23955.7,23742.66,23934.89,378.73,1.61,21.53,3432.21,27.0,3.41,1.03,0.01607774781628235
2021-12-09,24031.03,24043.1,23858.19,24017.43,82.54,0.34,46.03,3664.74,27.07,3.42,1.03,0.0034485222200728582
2021-12-10,23995.64,24083.12,23930.74,24061.35,43.92,0.18,38.2,2931.84,27.04,3.41,1.03,0.0018286719270128593
2021-12-13,24204.77,24257.45,23906.13,23918.75,-142.6,-0.59,27.45,3760.67,27.01,3.41,1.03,-0.005926517007565968
2021-12-14,23847.59,23920.6,23724.59,23875.89,-42.86,-0.18,21.19,3088.65,26.92,3.4,1.03,-0.0017918996603083492
2021-12-15,23892.51,23921.87,23706.1,23732.19,-143.7,-0.6,18.6,2665.72,26.7,3.37,1.05,-0.006018623808369039
2021-12-16,23901.11,23928.31,23637.29,23712.24,-19.95,-0.08,22.11,3068.51,26.76,3.38,1.05,-0.0008406303843007112
2021-12-17,23742.29,23749.69,23273.96,23295.52,-416.72,-1.76,21.12,3189.07,26.35,3.33,1.07,-0.017574046146631495
2021-12-20,23090.08,23092.73,22428.02,22704.35,-591.17,-2.54,30.06,4997.53,25.42,3.27,1.09,-0.025376982355405753
2021-12-21,22881.68,23151.73,22837.93,22955.34,250.99,1.11,21.45,2472.01,25.81,3.32,1.08,0.011054709780284444
2021-12-22,23077.66,23263.18,23059.65,23244.27,288.93,1.26,21.45,2472.01,26.09,3.36,1.06,0.0125866138336439
