Step,Forecast_Date,Naive_Persistence,Random_Forest,XGBoost,Lower_95_CI,Upper_95_CI
T+1,2026-09-01,23450.35,23321.96,23065.83,22911.67,23732.24
T+2,2026-09-02,23450.35,23322.09,23066.21,22741.85,23902.32
T+3,2026-09-03,23450.35,23322.21,23066.6,22611.58,24032.85
T+4,2026-09-04,23450.35,23322.34,23066.98,22501.77,24142.92
T+5,2026-09-07,23450.35,23322.47,23067.36,22405.04,24239.9
T+6,2026-09-08,23450.35,23322.6,23067.75,22317.6,24327.59
T+7,2026-09-09,23450.35,23322.73,23068.13,22237.21,24408.24
T+8,2026-09-10,23450.35,23322.85,23068.51,22162.39,24483.32
T+9,2026-09-11,23450.35,23322.98,23068.89,22092.12,24553.84
T+10,2026-09-14,23450.35,23323.11,23069.28,22025.67,24620.55
T+11,2026-09-15,23450.35,23323.24,23069.66,21962.47,24684.0
T+12,2026-09-16,23450.35,23323.36,23070.04,21902.09,24744.64
T+13,2026-09-17,23450.35,23323.49,23070.42,21844.18,24802.8
T+14,2026-09-18,23450.35,23323.62,23070.8,21788.46,24858.77
T+15,2026-09-21,23450.35,23323.74,23071.18,21734.71,24912.78
T+16,2026-09-22,23450.35,23323.87,23071.56,21682.72,24965.02
T+17,2026-09-23,23450.35,23324.0,23071.93,21632.34,25015.65
T+18,2026-09-24,23450.35,23324.12,23072.31,21583.42,25064.82
T+19,2026-09-25,23450.35,23324.25,23072.69,21535.85,25112.65
T+20,2026-09-28,23450.35,23324.38,23073.07,21489.52,25159.23
T+21,2026-09-29,23450.35,23324.5,23073.45,21444.33,25204.67
T+22,2026-09-30,23450.35,23324.63,23073.82,21400.21,25249.04
T+23,2026-10-01,23450.35,23324.75,23074.2,21357.09,25292.42
T+24,2026-10-02,23450.35,23324.88,23074.58,21314.89,25334.86
T+25,2026-10-05,23450.35,23325.0,23074.95,21273.57,25376.44
T+26,2026-10-06,23450.35,23325.13,23075.33,21233.07,25417.19
T+27,2026-10-07,23450.35,23325.25,23075.7,21193.34,25457.17
T+28,2026-10-08,23450.35,23325.38,23076.08,21154.35,25496.41
T+29,2026-10-09,23450.35,23325.5,23076.45,21116.04,25534.97
T+30,2026-10-12,23450.35,23325.63,23076.82,21078.4,25572.86
