Index Name,Date,Open,High,Low,Close
NIFTY 500,01-09-2021,14611.65,14640.6,14527.05,14551.35
NIFTY 500,02-09-2021,14571.3,14692.0,14548.5,14684.35
NIFTY 500,03-09-2021,14724.7,14770.85,14682.2,14759.3
NIFTY 500,06-09-2021,14827.05,14843.4,14783.45,14805.85
NIFTY 500,07-09-2021,14834.95,14852.25,14713.55,14784.25
NIFTY 500,08-09-2021,14802.85,14825.1,14716.65,14803.6
NIFTY 500,09-09-2021,14780.6,14844.4,14774.15,14836.45
NIFTY 500,13-09-2021,14839.8,14865.75,14769.1,14852.2
NIFTY 500,14-09-2021,14917.05,14935.55,14881.55,14904.35
NIFTY 500,15-09-2021,14927.95,15028.65,14921.1,15020.55
NIFTY 500,16-09-2021,15050.85,15115.35,15012.25,15104.9
NIFTY 500,17-09-2021,15169.9,15207.7,14979.35,15027.25
NIFTY 500,20-09-2021,14907.5,15047.65,14800.85,14826.75
NIFTY 500,21-09-2021,14856.85,14959.45,14734.7,14946.3
NIFTY 500,22-09-2021,14977.3,15030.85,14950.35,14990.55
NIFTY 500,23-09-2021,15097.1,15219.35,15085.55,15205.45
NIFTY 500,24-09-2021,15274.1,15305.2,15160.45,15191.95
NIFTY 500,27-09-2021,15261.35,15262.65,15139.6,15189.05
NIFTY 500,28-09-2021,15235.1,15239.65,14967.05,15095.6
NIFTY 500,29-09-2021,15023.3,15141.05,14985.4,15086.95
NIFTY 500,30-09-2021,15109.7,15137.55,15026.95,15052.65
NIFTY 500,01-10-2021,14994.8,15031.55,14932.75,15013.95
NIFTY 500,04-10-2021,15094.4,15195.2,15075.25,15181.15
NIFTY 500,05-10-2021,15171.25,15287.7,15150.5,15280.1
NIFTY 500,06-10-2021,15328.95,15349.2,15109.1,15134.55
NIFTY 500,07-10-2021,15274.65,15335.95,15251.0,15290.15
NIFTY 500,08-10-2021,15375.3,15402.7,15317.4,15365.2
NIFTY 500,11-10-2021,15374.5,15497.8,15356.55,15428.0
NIFTY 500,12-10-2021,15426.6,15493.25,15371.8,15481.9
NIFTY 500,13-10-2021,15573.6,15660.2,15546.85,15631.4
NIFTY 500,14-10-2021,15733.3,15781.0,15710.1,15769.25
NIFTY 500,18-10-2021,15924.1,15949.2,15871.4,15886.15
NIFTY 500,19-10-2021,16003.95,16004.45,15716.7,15757.85
NIFTY 500,20-10-2021,15768.0,15776.35,15497.0,15568.65
NIFTY 500,21-10-2021,15666.6,15667.0,15373.45,15487.65
NIFTY 500,22-10-2021,15537.05,15600.45,15328.9,15399.7
NIFTY 500,25-10-2021,15492.0,15498.4,15181.6,15334.35
NIFTY 500,26-10-2021,15360.35,15528.9,15356.5,15499.65
NIFTY 500,27-10-2021,15541.75,15583.2,15454.1,15484.35
NIFTY 500,28-10-2021,15475.4,15475.45,15148.2,15190.85
NIFTY 500,29-10-2021,15163.5,15266.4,14961.5,15086.9
NIFTY 500,01-11-2021,15179.4,15318.15,15111.3,15302.7
NIFTY 500,02-11-2021,15344.35,15373.7,15278.7,15314.65
NIFTY 500,03-11-2021,15367.7,15397.3,15212.15,15282.75
NIFTY 500,04-11-2021,15380.95,15396.85,15363.35,15376.9
NIFTY 500,08-11-2021,15474.25,15535.05,15313.2,15520.15
NIFTY 500,09-11-2021,15542.05,15579.5,15487.7,15541.95
NIFTY 500,10-11-2021,15492.05,15562.45,15458.5,15521.1
NIFTY 500,11-11-2021,15497.25,15499.9,15351.2,15411.1
NIFTY 500,12-11-2021,15504.35,15591.45,15429.6,15579.0
NIFTY 500,15-11-2021,15625.75,15664.45,15558.05,15592.6
NIFTY 500,16-11-2021,15613.1,15626.65,15492.6,15525.4
NIFTY 500,17-11-2021,15487.15,15560.75,15436.95,15454.95
NIFTY 500,18-11-2021,15461.5,15502.6,15239.8,15302.55
NIFTY 500,22-11-2021,15333.9,15339.65,14846.7,14976.7
NIFTY 500,23-11-2021,14876.0,15137.15,14820.4,15107.8
NIFTY 500,24-11-2021,15159.95,15199.2,14997.3,15046.5
NIFTY 500,25-11-2021,15057.6,15166.65,14984.7,15150.6
NIFTY 500,26-11-2021,14990.85,15012.1,14674.75,14707.2
NIFTY 500,29-11-2021,14683.05,14749.5,14402.1,14656.45
NIFTY 500,30-11-2021,14662.05,14912.75,14608.6,14648.35
NIFTY 500,01-12-2021,14743.7,14822.5,14694.3,14784.7
NIFTY 500,02-12-2021,14808.8,14990.3,14786.65,14973.95
NIFTY 500,03-12-2021,15002.65,15054.95,14845.25,14856.3
NIFTY 500,06-12-2021,14876.25,14882.15,14599.35,14618.35
NIFTY 500,07-12-2021,14733.25,14881.75,14683.25,14834.5
NIFTY 500,08-12-2021,14945.3,15084.5,14941.3,15073.25
NIFTY 500,09-12-2021,15126.55,15141.0,15023.2,15126.6
NIFTY 500,10-12-2021,15103.65,15168.8,15069.8,15155.0
NIFTY 500,13-12-2021,15258.1,15280.0,15052.9,15064.25
NIFTY 500,14-12-2021,15005.5,15072.0,14947.95,15043.25
NIFTY 500,15-12-2021,15050.1,15075.7,14936.6,14953.1
NIFTY 500,16-12-2021,15072.95,15078.85,14891.6,14936.45
NIFTY 500,17-12-2021,14952.75,14966.1,14658.5,14673.15
NIFTY 500,20-12-2021,14523.5,14533.8,14128.15,14300.7
NIFTY 500,21-12-2021,14423.7,14584.95,14386.45,14461.4
NIFTY 500,22-12-2021,14542.7,14652.35,14522.55,14639.75
NIFTY 500,23-12-2021,14738.3,14779.3,14708.7,14751.45
NIFTY 500,24-12-2021,14813.9,14819.2,14605.05,14664.8
NIFTY 500,27-12-2021,14617.15,14745.55,14515.25,14727.6
NIFTY 500,28-12-2021,14809.5,14880.85,14805.3,14867.85
NIFTY 500,29-12-2021,14866.2,14922.35,14835.35,14863.4
NIFTY 500,30-12-2021,14856.1,14894.65,14815.0,14842.05
NIFTY 500,31-12-2021,14879.25,15022.35,14877.85,14996.2
NIFTY 500,03-01-2022,15030.5,15220.05,15028.55,15204.6
NIFTY 500,04-01-2022,15260.9,15333.6,15168.15,15318.75
NIFTY 500,05-01-2022,15329.75,15410.6,15264.85,15396.4
NIFTY 500,06-01-2022,15275.75,15315.5,15197.1,15290.1
NIFTY 500,07-01-2022,15333.45,15418.4,15255.45,15348.55
NIFTY 500,10-01-2022,15427.65,15504.0,15400.55,15495.55
NIFTY 500,11-01-2022,15497.5,15559.1,15462.05,15530.55
NIFTY 500,12-01-2022,15627.05,15678.7,15595.65,15667.9
NIFTY 500,13-01-2022,15710.3,15730.95,15629.45,15721.05
