Feature,RF_Importance,XGB_Importance
Close,0.14214123205567147,0.020162016
SMA_200,0.1206988886107897,0.006065341
SMA_10,0.11004571982273544,0.44396722
SMA_50,0.09734307511840054,0.034377117
SMA_20,0.08716004368647719,0.39534634
BB_Lower,0.08599483213009378,0.0009821128
BB_Upper,0.07964363517176509,0.00038544016
EMA_26,0.07493840443267924,8.720823e-05
EMA_12,0.047072775485358674,0.0008474293
Close_Lag1,0.03578965312425368,0.010450242
BB_Middle,0.035468463895408725,0.00011789361
High,0.03128658251765003,0.0110220695
Close_Lag2,0.02031202822963729,0.0034462635
Open,0.018729940854597813,0.0058977827
Low,0.010487227836007721,0.06326918
Dist_SMA_200,0.001165829306543179,0.0011236541
MACD_Signal,0.0004403754085151443,0.0006180673
Vol_20,0.00023467266562425884,0.00018340546
MACD_Hist,0.00015329386225026184,0.00020900555
BB_Bandwidth,0.00011646126070720055,0.00012341078
MACD,9.046841329127352e-05,0.00010733908
Vol_10,8.059429614004354e-05,8.1885475e-05
Close_Open_Ratio,7.21164421309204e-05,9.1217946e-05
Dist_SMA_50,6.801680527155005e-05,0.00021046343
Return_Lag2,6.678584844551247e-05,6.0597464e-05
Return_Lag3,6.659974603527878e-05,5.86293e-05
RSI_14,6.091910146182112e-05,0.000110532885
Return_Lag1,5.969494427259291e-05,4.6925532e-05
High_Low_Ratio,5.2926734400215155e-05,5.56084e-05
Return_Lag5,5.0168498656994025e-05,5.610391e-05
Z_Score,2.9685897181263335e-05,0.00012855552
BB_PctB,2.8074633906427152e-05,6.8574256e-05
Return,2.68522189488203e-05,0.00012525538
Daily_Return,2.3960944690910087e-05,0.00011704324
