,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HINDALCO,HINDUNILVR,ICICIBANK,INDIGO,INFY,ITC,JIOFIN,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,MAXHEALTH,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO,ZOMATO
ADANIENT,1.0,0.7732,0.1805,0.2422,0.271,0.2092,0.3369,0.3225,0.3634,0.239,0.3198,0.1321,0.2966,0.1713,0.2879,0.3492,0.1516,0.2897,0.3105,0.2541,0.0925,0.2957,0.279,0.1467,0.1957,0.4511,0.3339,0.2344,0.3321,0.3057,0.2575,0.1302,0.1399,0.3546,0.2193,0.2397,0.3409,0.2978,0.4296,0.3183,0.1809,0.2233,0.316,0.1564,0.179,0.271,0.2357,0.3096,0.2039,0.273
ADANIPORTS,0.7732,1.0,0.2117,0.2764,0.3486,0.2447,0.3883,0.3802,0.4633,0.2927,0.4047,0.1472,0.3665,0.1853,0.3128,0.4113,0.1974,0.3587,0.3306,0.3163,0.1474,0.3682,0.3487,0.1842,0.2753,0.4734,0.3954,0.2823,0.4337,0.3561,0.3019,0.1481,0.1718,0.4267,0.278,0.3316,0.4202,0.3495,0.5047,0.3732,0.2299,0.2606,0.3545,0.1927,0.2187,0.3384,0.2822,0.3906,0.2579,0.3007
APOLLOHOSP,0.1805,0.2117,1.0,0.2332,0.1976,0.2127,0.2723,0.28,0.2334,0.2042,0.1795,0.2268,0.182,0.2131,0.2419,0.2824,0.2116,0.1941,0.2013,0.2072,0.1935,0.2363,0.2396,0.1608,0.16,0.2493,0.2518,0.1922,0.2469,0.2496,0.1949,0.284,0.2324,0.1775,0.1156,0.179,0.2176,0.214,0.2053,0.2428,0.2482,0.2395,0.2462,0.1691,0.2264,0.2614,0.1777,0.2653,0.2366,0.232
ASIANPAINT,0.2422,0.2764,0.2332,1.0,0.1963,0.2362,0.3475,0.331,0.1731,0.209,0.2541,0.1447,0.0639,0.1724,0.3283,0.3535,0.1879,0.2683,0.2365,0.1292,0.3717,0.2745,0.3166,0.1822,0.2285,0.2901,0.2165,0.2303,0.3084,0.2676,0.3376,0.1611,0.3409,0.1501,-0.0217,0.1116,0.2681,0.2634,0.2372,0.2454,0.2159,0.3366,0.2208,0.2375,0.174,0.3399,0.2493,0.3707,0.214,0.1723
AXISBANK,0.271,0.3486,0.1976,0.1963,1.0,0.2586,0.4334,0.4079,0.2923,0.2352,0.2835,0.1279,0.2485,0.1464,0.3461,0.3972,0.1664,0.4508,0.3264,0.2524,0.2274,0.5776,0.3466,0.1798,0.2318,0.386,0.3545,0.4085,0.4011,0.3239,0.3473,0.1495,0.2039,0.3075,0.1835,0.1908,0.3424,0.3031,0.5295,0.4364,0.1059,0.2244,0.3139,0.1901,0.1748,0.2703,0.2357,0.3732,0.211,0.2085
BAJAJ-AUTO,0.2092,0.2447,0.2127,0.2362,0.2586,1.0,0.2735,0.2476,0.2199,0.2706,0.2511,0.1336,0.1657,0.1865,0.4191,0.2982,0.1932,0.2467,0.2389,0.2373,0.2115,0.2235,0.2534,0.1388,0.1836,0.2685,0.283,0.2256,0.2745,0.4051,0.4174,0.145,0.2653,0.2422,0.1758,0.1683,0.2767,0.2493,0.2465,0.2972,0.2123,0.2598,0.3573,0.1558,0.1569,0.3029,0.2406,0.2934,0.1859,0.1801
BAJAJFINSV,0.3369,0.3883,0.2723,0.3475,0.4334,0.2735,1.0,0.7889,0.2855,0.257,0.3338,0.138,0.2392,0.1553,0.3398,0.443,0.2721,0.4092,0.364,0.2943,0.2105,0.4237,0.3571,0.2948,0.2417,0.3519,0.3614,0.3903,0.394,0.399,0.3525,0.1476,0.2661,0.3053,0.1447,0.1987,0.3963,0.4156,0.4318,0.4522,0.2199,0.3116,0.3662,0.2807,0.2788,0.4017,0.3018,0.4193,0.3161,0.2677
BAJFINANCE,0.3225,0.3802,0.28,0.331,0.4079,0.2476,0.7889,1.0,0.2699,0.2658,0.3019,0.1006,0.2035,0.1435,0.3261,0.4083,0.2227,0.4289,0.3109,0.2463,0.2145,0.4255,0.3548,0.2563,0.2721,0.3294,0.35,0.4099,0.375,0.3865,0.3651,0.1517,0.2549,0.2797,0.131,0.1475,0.3667,0.3458,0.4159,0.4511,0.1847,0.2867,0.3293,0.238,0.2426,0.3826,0.2984,0.4084,0.2727,0.2876
BEL,0.3634,0.4633,0.2334,0.1731,0.2923,0.2199,0.2855,0.2699,1.0,0.2369,0.3995,0.1647,0.44,0.1709,0.2918,0.3462,0.1689,0.2489,0.2812,0.3761,0.0899,0.2832,0.3188,0.1413,0.259,0.4058,0.387,0.2583,0.4449,0.333,0.2225,0.1393,0.153,0.4416,0.3629,0.3747,0.3574,0.2672,0.4557,0.3556,0.1808,0.237,0.3434,0.1352,0.1985,0.2768,0.2683,0.3378,0.2128,0.2486
BHARTIARTL,0.239,0.2927,0.2042,0.209,0.2352,0.2706,0.257,0.2658,0.2369,1.0,0.2355,0.1794,0.1862,0.19,0.3061,0.3097,0.2769,0.2821,0.2463,0.2589,0.17,0.3176,0.2144,0.2462,0.2405,0.1783,0.3098,0.2967,0.2929,0.3022,0.273,0.148,0.1753,0.2398,0.2094,0.1944,0.3191,0.2724,0.2734,0.2515,0.2387,0.2611,0.2384,0.21,0.2448,0.2776,0.2127,0.2779,0.2494,0.1813
